Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Subjunctive,Present,1st Person,Singular,aspirem,aspirem,aspiram,aspiram,I may breathe
Active Subjunctive,Present,1st Person,Plural,aspiremus,aspiremus,aspiramus,aspiramus,We may breathe
Active Subjunctive,Present,2nd Person,Singular,aspires,aspires,aspiras,aspiras,You may breathe
Active Subjunctive,Present,2nd Person,Plural,aspiretis,aspiretis,aspiratis,aspiratis,You (pl.) may breathe
Active Subjunctive,Present,3rd Person,Singular,aspiret,aspiret,aspirat,aspirat,He/she/it may breathe
Active Subjunctive,Present,3rd Person,Plural,aspirent,aspirent,aspirant,aspirant,They may breathe
Active Subjunctive,Imperfect,1st Person,Singular,aspirarem,aspirerem,aspirerem,aspirirem,I should breathe
Active Subjunctive,Imperfect,1st Person,Plural,aspiraremus,aspireremus,aspireremus,aspiriremus,We should breathe
Active Subjunctive,Imperfect,2nd Person,Singular,aspirares,aspireres,aspireres,aspirires,You should breathe
Active Subjunctive,Imperfect,2nd Person,Plural,aspiraretis,aspireretis,aspireretis,aspiriretis,You (pl.) should breathe
Active Subjunctive,Imperfect,3rd Person,Singular,aspiraret,aspireret,aspireret,aspiriret,He/she/it should breathe
Active Subjunctive,Imperfect,3rd Person,Plural,aspirarent,aspirerent,aspirerent,aspirirent,They should breathe
Active Subjunctive,Perfect,1st Person,Singular,aspirerim,aspiruerim,aspirerim,aspirierim,I may have breatheed
Active Subjunctive,Perfect,1st Person,Plural,aspirerimus,aspiruerimus,aspirerimus,aspirierimus,We may have breatheed
Active Subjunctive,Perfect,2nd Person,Singular,aspireris,aspirueris,aspireris,aspirieris,You may have breatheed
Active Subjunctive,Perfect,2nd Person,Plural,aspireritis,aspirueritis,aspireritis,aspirieritis,You (pl.) may have breatheed
Active Subjunctive,Perfect,3rd Person,Singular,aspirerit,aspiruerit,aspirerit,aspirierit,He/she/it may have breatheed
Active Subjunctive,Perfect,3rd Person,Plural,aspirerint,aspiruerint,aspirerint,aspirierint,They may have breatheed
Active Subjunctive,Pluperfect,1st Person,Singular,aspirissem,aspiruissem,aspirissem,aspirissem,I should have breatheed
Active Subjunctive,Pluperfect,1st Person,Plural,aspirissemus,aspiruissemus,aspirissemus,aspirissemus,We should have breatheed
Active Subjunctive,Pluperfect,2nd Person,Singular,aspirisses,aspiruisses,aspirisses,aspirisses,You would have breatheed
Active Subjunctive,Pluperfect,2nd Person,Plural,aspirissetis,aspiruissetis,aspirissetis,aspirissetis,You (pl.) would have breatheed
Active Subjunctive,Pluperfect,3rd Person,Singular,aspirisset,aspiruisset,aspirisset,aspirisset,He/she/it would have breatheed
Active Subjunctive,Pluperfect,3rd Person,Plural,aspirissent,aspiruissent,aspirissent,aspirissent,They would have breatheed
Passive Subjunctive,Present,1st Person,Singular,aspirer,aspirer,aspirar,aspirar,I may be breatheed
Passive Subjunctive,Present,1st Person,Plural,aspiremur,aspiremur,aspiramur,aspiramur,We may be breatheed
Passive Subjunctive,Present,2nd Person,Singular,aspireris,aspireris,aspiraris,aspiraris,You may be breatheed
Passive Subjunctive,Present,2nd Person,Plural,aspiremini,aspiremini,aspiramini,aspiramini,You (pl.) may be breatheed
Passive Subjunctive,Present,3rd Person,Singular,aspiretur,aspiretur,aspiratur,aspiratur,He/she/it may be breatheed
Passive Subjunctive,Present,3rd Person,Plural,aspirentur,aspirentur,aspirantur,aspirantur,They may be breatheed
Passive Subjunctive,Imperfect,1st Person,Singular,aspirarer,aspirerer,aspirerer,aspirirer,I should be breatheed
Passive Subjunctive,Imperfect,1st Person,Plural,aspiraremur,aspireremur,aspireremur,aspiriremur,We should be breatheed
Passive Subjunctive,Imperfect,2nd Person,Singular,aspirareris,aspirereris,aspirereris,aspirireris,You would be breatheed
Passive Subjunctive,Imperfect,2nd Person,Plural,aspiraremini,aspireremini,aspireremini,aspiriremini,You (pl.) would be breatheed
Passive Subjunctive,Imperfect,3rd Person,Singular,aspiraretur,aspireretur,aspireretur,aspiriretur,He/she/it would be breatheed
Passive Subjunctive,Imperfect,3rd Person,Plural,aspirarentur,aspirerentur,aspirerentur,aspirirentur,They would be breatheed
Passive Subjunctive,Perfect,1st Person,Singular,aspiratus sim,aspiretus sim,aspirus sim,aspirus sim,I may have been breatheed
Passive Subjunctive,Perfect,1st Person,Plural,aspirati simus,aspireti simus,aspiri simus,aspiri simus,We may have been breatheed
Passive Subjunctive,Perfect,2nd Person,Singular,aspiratus sis,aspiretus sis,aspirus sis,aspirus sis,You may have been breatheed
Passive Subjunctive,Perfect,2nd Person,Plural,aspirati sitis,aspireti sitis,aspiri sitis,aspiri sitis,You (pl.) may have been breatheed
Passive Subjunctive,Perfect,3rd Person,Singular,aspiratus sit,aspiretus sit,aspirus sit,aspirus sit,He/she/it may have been breatheed
Passive Subjunctive,Perfect,3rd Person,Plural,aspirati sint,aspireti sint,aspiri sint,aspiri sint,They may have been breatheed
Passive Subjunctive,Pluperfect,1st Person,Singular,aspiratus essem,aspiretus essem,aspirus essem,aspirus essem,I should have been breatheed
Passive Subjunctive,Pluperfect,1st Person,Plural,aspirati essemus,aspireti essemus,aspiri essemus,aspiri essemus,We should have been breatheed
Passive Subjunctive,Pluperfect,2nd Person,Singular,aspiratus esses,aspiretus esses,aspirus esses,aspirus esses,You would have been breatheed
Passive Subjunctive,Pluperfect,2nd Person,Plural,aspirati essetis,aspireti essetis,aspiri essetis,aspiri essetis,You (pl.) would have been breatheed
Passive Subjunctive,Pluperfect,3rd Person,Singular,aspiratus esset,aspiretus esset,aspirus esset,aspirus esset,He/she/it would have been breatheed
Passive Subjunctive,Pluperfect,3rd Person,Plural,aspirati essent,aspireti essent,aspiri essent,aspiri essent,They would have been breatheed
