Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Pluperfect,1st Person,Plural,captiaveramus,captiueramus,captieramus,captieramus,We had hunted
Active Indicative,Pluperfect,2nd Person,Singular,captiaveras,captiueras,captieras,captieras,You had hunted
Active Indicative,Pluperfect,2nd Person,Plural,captiaveratis,captiueratis,captieratis,captieratis,You (pl.) had hunted
Active Indicative,Pluperfect,3rd Person,Singular,captiaverat,captiuerat,captierat,captierat,He/she/it had hunted
Active Indicative,Pluperfect,3rd Person,Plural,captiaverant,captiuerant,captierant,captierant,They had hunted
Active Indicative,Future Perfect,1st Person,Singular,captiavero,captiueero,captiero,captiero,I will have hunted
Active Indicative,Future Perfect,1st Person,Plural,captiaverimus,captiuerimus,captierimus,captierimus,We will have hunted
Active Indicative,Future Perfect,2nd Person,Singular,captiaveris,captiueris,captieris,captieris,You will have hunted
Active Indicative,Future Perfect,2nd Person,Plural,captiaveritis,captiueritis,captieritis,captieritis,You (pl.) will have hunted
Active Indicative,Future Perfect,3rd Person,Singular,captiaverit,captiuerit,captierit,captierit,He/she/it will have hunted
Active Indicative,Future Perfect,3rd Person,Plural,captiaverint,captiuerint,captierint,captierint,They will have hunted
Passive Indicative,Present,1st Person,Singular,captior,captieor,captior,captior,I am being hunted
Passive Indicative,Present,1st Person,Plural,captiamur,captiemur,captimur,captimur,We are being hunted
Passive Indicative,Present,2nd Person,Singular,captiaris,captieris,captiris,captiris,You are being hunted
Passive Indicative,Present,2nd Person,Plural,captiamini,captiemini,captimini,captimini,You (pl.) are being hunted
Passive Indicative,Present,3rd Person,Singular,captiatur,captietur,captitur,captitur,He/she/it is being hunted
Passive Indicative,Present,3rd Person,Plural,captiantur,captientur,captiuntur,captiuntur,They are being hunted
Passive Indicative,Imperfect,1st Person,Singular,captiabar,captiebar,captiebar,captiebar,I was hunted
Passive Indicative,Imperfect,1st Person,Plural,captiabamur,captiebamur,captiebamur,captiebamur,We were hunted
Passive Indicative,Imperfect,2nd Person,Singular,captiabaris,captiebaris,captiebaris,captiebaris,You were hunted
Passive Indicative,Imperfect,2nd Person,Plural,captiabamini,captiebamini,captiebamini,captiebamini,You (pl.) were hunted
Passive Indicative,Imperfect,3rd Person,Singular,captiabatur,captiebatur,captiebatur,captiebatur,He/she/it was hunted
Passive Indicative,Imperfect,3rd Person,Plural,captiabantur,captiebantur,captiebantur,captiebantur,They were hunted
Passive Indicative,Future,1st Person,Singular,captiabor,captiebor,captiar,captiar,I will be hunted
Passive Indicative,Future,1st Person,Plural,captiabimur,captiebimur,captiemur,captiemur,We will be hunted
Passive Indicative,Future,2nd Person,Singular,captiaberis,captieberis,captieris,captieris,You will be hunted
Passive Indicative,Future,2nd Person,Plural,captiabimini,captiebimini,captiemini,captiemini,You (pl.) will be hunted
Passive Indicative,Future,3rd Person,Singular,captiabitur,captiebitur,captietur,captietur,He/she/it will be hunted
Passive Indicative,Future,3rd Person,Plural,captiabuntur,captiebuntur,captientur,captientur,They will be hunted
Passive Indicative,Perfect,1st Person,Singular,captiatus sum,captietus sum,captius sum,captius sum,I have been hunted
Passive Indicative,Perfect,1st Person,Plural,captiati sumus,captieti sumus,capti sumus,capti sumus,We have been hunted
Passive Indicative,Perfect,2nd Person,Singular,captiatus es,captietus es,captius es,captius es,You have been hunted
Passive Indicative,Perfect,2nd Person,Plural,captiati estis,captieti estis,capti estis,capti estis,You (pl.) have been hunted
Passive Indicative,Perfect,3rd Person,Singular,captiatus est,captietus est,captius est,captius est,He/she/it has been hunted
Passive Indicative,Perfect,3rd Person,Plural,captiati sunt,captieti sunt,capti sunt,capti sunt,They have been hunted
Passive Indicative,Pluperfect,1st Person,Singular,captiatus eram,captietus eram,captius eram,captius eram,I had been hunted
Passive Indicative,Pluperfect,1st Person,Plural,captiati eramus,captieti eramus,capti eramus,capti eramus,We had been hunted
Passive Indicative,Pluperfect,2nd Person,Singular,captiatus eras,captietus eras,captius eras,captius eras,You had been hunted
Passive Indicative,Pluperfect,2nd Person,Plural,captiati eratis,captieti eratis,capti eratis,capti eratis,You (pl.) had been hunted
Passive Indicative,Pluperfect,3rd Person,Singular,captiatus erat,captietus erat,captius erat,captius erat,He/she/it had been hunted
Passive Indicative,Pluperfect,3rd Person,Plural,captiati erant,captieti erant,capti erant,capti erant,They had been hunted
Passive Indicative,Future Perfect,1st Person,Singular,captiatus ero,captietus ero,captius ero,captius ero,I will have been hunted
Passive Indicative,Future Perfect,1st Person,Plural,captiati erimus,captieti erimus,capti erimus,capti erimus,We will have been hunted
Passive Indicative,Future Perfect,2nd Person,Singular,captiatus eris,captietus eris,captius eris,captius eris,You will have been hunted
Passive Indicative,Future Perfect,2nd Person,Plural,captiati eritis,captieti eritis,capti eritis,capti eritis,You (pl.) will have been hunted
Passive Indicative,Future Perfect,3rd Person,Singular,captiatus erit,captietus erit,captius erit,captius erit,He/she/it will have been hunted
Passive Indicative,Future Perfect,3rd Person,Plural,captiati erunt,captieti erunt,capti erunt,capti erunt,They will have been hunted
Active Subjunctive,Present,1st Person,Singular,captiem,captiem,captiam,captiam,I may hunt
Active Subjunctive,Present,1st Person,Plural,captiemus,captiemus,captiamus,captiamus,We may hunt
Active Subjunctive,Present,2nd Person,Singular,capties,capties,captias,captias,You may hunt
Active Subjunctive,Present,2nd Person,Plural,captietis,captietis,captiatis,captiatis,You (pl.) may hunt
Active Subjunctive,Present,3rd Person,Singular,captiet,captiet,captiat,captiat,He/she/it may hunt
Active Subjunctive,Present,3rd Person,Plural,captient,captient,captiant,captiant,They may hunt
Active Subjunctive,Imperfect,1st Person,Singular,captiarem,captierem,captierem,captirem,I should hunt
Active Subjunctive,Imperfect,1st Person,Plural,captiaremus,captieremus,captieremus,captiremus,We should hunt
Active Subjunctive,Imperfect,2nd Person,Singular,captiares,captieres,captieres,captires,You should hunt
Active Subjunctive,Imperfect,2nd Person,Plural,captiaretis,captieretis,captieretis,captiretis,You (pl.) should hunt
Active Subjunctive,Imperfect,3rd Person,Singular,captiaret,captieret,captieret,captiret,He/she/it should hunt
Active Subjunctive,Imperfect,3rd Person,Plural,captiarent,captierent,captierent,captirent,They should hunt
Active Subjunctive,Perfect,1st Person,Singular,captierim,captiuerim,captierim,captierim,I may have hunted
Active Subjunctive,Perfect,1st Person,Plural,captierimus,captiuerimus,captierimus,captierimus,We may have hunted
Active Subjunctive,Perfect,2nd Person,Singular,captieris,captiueris,captieris,captieris,You may have hunted
Active Subjunctive,Perfect,2nd Person,Plural,captieritis,captiueritis,captieritis,captieritis,You (pl.) may have hunted
Active Subjunctive,Perfect,3rd Person,Singular,captierit,captiuerit,captierit,captierit,He/she/it may have hunted
Active Subjunctive,Perfect,3rd Person,Plural,captierint,captiuerint,captierint,captierint,They may have hunted
Active Subjunctive,Pluperfect,1st Person,Singular,captissem,captiuissem,captissem,captissem,I should have hunted
Active Subjunctive,Pluperfect,1st Person,Plural,captissemus,captiuissemus,captissemus,captissemus,We should have hunted
Active Subjunctive,Pluperfect,2nd Person,Singular,captisses,captiuisses,captisses,captisses,You would have hunted
Active Subjunctive,Pluperfect,2nd Person,Plural,captissetis,captiuissetis,captissetis,captissetis,You (pl.) would have hunted
Active Subjunctive,Pluperfect,3rd Person,Singular,captisset,captiuisset,captisset,captisset,He/she/it would have hunted
Active Subjunctive,Pluperfect,3rd Person,Plural,captissent,captiuissent,captissent,captissent,They would have hunted
Passive Subjunctive,Present,1st Person,Singular,captier,captier,captiar,captiar,I may be hunted
Passive Subjunctive,Present,1st Person,Plural,captiemur,captiemur,captiamur,captiamur,We may be hunted
Passive Subjunctive,Present,2nd Person,Singular,captieris,captieris,captiaris,captiaris,You may be hunted
Passive Subjunctive,Present,2nd Person,Plural,captiemini,captiemini,captiamini,captiamini,You (pl.) may be hunted
Passive Subjunctive,Present,3rd Person,Singular,captietur,captietur,captiatur,captiatur,He/she/it may be hunted
Passive Subjunctive,Present,3rd Person,Plural,captientur,captientur,captiantur,captiantur,They may be hunted
Passive Subjunctive,Imperfect,1st Person,Singular,captiarer,captierer,captierer,captirer,I should be hunted
Passive Subjunctive,Imperfect,1st Person,Plural,captiaremur,captieremur,captieremur,captiremur,We should be hunted
Passive Subjunctive,Imperfect,2nd Person,Singular,captiareris,captiereris,captiereris,captireris,You would be hunted
Passive Subjunctive,Imperfect,2nd Person,Plural,captiaremini,captieremini,captieremini,captiremini,You (pl.) would be hunted
Passive Subjunctive,Imperfect,3rd Person,Singular,captiaretur,captieretur,captieretur,captiretur,He/she/it would be hunted
Passive Subjunctive,Imperfect,3rd Person,Plural,captiarentur,captierentur,captierentur,captirentur,They would be hunted
Passive Subjunctive,Perfect,1st Person,Singular,captiatus sim,captietus sim,captius sim,captius sim,I may have been hunted
Passive Subjunctive,Perfect,1st Person,Plural,captiati simus,captieti simus,capti simus,capti simus,We may have been hunted
Passive Subjunctive,Perfect,2nd Person,Singular,captiatus sis,captietus sis,captius sis,captius sis,You may have been hunted
Passive Subjunctive,Perfect,2nd Person,Plural,captiati sitis,captieti sitis,capti sitis,capti sitis,You (pl.) may have been hunted
Passive Subjunctive,Perfect,3rd Person,Singular,captiatus sit,captietus sit,captius sit,captius sit,He/she/it may have been hunted
Passive Subjunctive,Perfect,3rd Person,Plural,captiati sint,captieti sint,capti sint,capti sint,They may have been hunted
Passive Subjunctive,Pluperfect,1st Person,Singular,captiatus essem,captietus essem,captius essem,captius essem,I should have been hunted
Passive Subjunctive,Pluperfect,1st Person,Plural,captiati essemus,captieti essemus,capti essemus,capti essemus,We should have been hunted
Passive Subjunctive,Pluperfect,2nd Person,Singular,captiatus esses,captietus esses,captius esses,captius esses,You would have been hunted
Passive Subjunctive,Pluperfect,2nd Person,Plural,captiati essetis,captieti essetis,capti essetis,capti essetis,You (pl.) would have been hunted
Passive Subjunctive,Pluperfect,3rd Person,Singular,captiatus esset,captietus esset,captius esset,captius esset,He/she/it would have been hunted
Passive Subjunctive,Pluperfect,3rd Person,Plural,captiati essent,captieti essent,capti essent,capti essent,They would have been hunted
